id;foerderung;investitionsort;traeger_unternehmen;plz;strasse_nr;bewilligungsjahr;foerderbereich;projektbezeichnung;bewilligungssumme;rss_titel
1611;Unternehmensförderung;Mitte;"Werk5 GmbH";10179;"Wilhelmine-Gemberg-Weg 6";2017;"Herstellung sonstiger Waren";"Erweiterung einer Betriebsstätte";74100;"Erweiterung einer Betriebsstätte"
588;Unternehmensförderung;Pankow;"advalyze  GmbH";13088;"Berliner Allee 26";2019;"Entwicklung Internet-Präsentation";"Erweiterung einer Betriebsstätte";202000;"Erweiterung einer Betriebsstätte"
1356;Unternehmensförderung;Tempelhof-Schöneberg;"PieReg Druckcenter Berlin GmbH";12277;"Benzstr. 12";2017;Drucken;"Erweiterung einer Betriebsstätte";1185000;"Erweiterung einer Betriebsstätte"
1101;Unternehmensförderung;Treptow-Köpenick;"UABG Gesellschaft für Umweltanalytik, Boden- und Gewässerschutz mbH";12459;"Ostendstr. 25";2018;"Technisch/chemische Untersuchungen";"Erweiterung einer Betriebsstätte";105000;"Erweiterung einer Betriebsstätte"
846;Unternehmensförderung;Friedrichshain-Kreuzberg;"SMartDe eG";10969;"Mehringplatz 8";2019;"Andere wirtschaftliche Dinestleistungen";"Errichtung einer Betriebsstätte";88640;"Errichtung einer Betriebsstätte"
1614;Unternehmensförderung;Friedrichshain-Kreuzberg;"Parasol Island GmbH";10969;"Rudi-Dutschke-Str. 26";2017;Film/TV-Herstellung;"Errichtung einer Betriebsstätte";88950;"Errichtung einer Betriebsstätte"
591;Unternehmensförderung;Mitte;"GUD.berlin GmbH";10115;"Linienstr. 145";2019;Werbeagenturen;"Errichtung einer Betriebsstätte";288000;"Errichtung einer Betriebsstätte"
1359;Unternehmensförderung;Charlottenburg-Wilmersdorf;"MetallPRO GmbH";10587;"Salzufer 13-14";2017;"Herstellung Maschinen zur Metallerzeugng";"Erweiterung einer Betriebsstätte";22650;"Erweiterung einer Betriebsstätte"
1104;Unternehmensförderung;Neukölln;"Weltrecorder Story GmbH";12051;"Emser Str. 124";2018;Film/TV-Herstellung;"Errichtung einer Betriebsstätte";23940;"Errichtung einer Betriebsstätte"
849;Unternehmensförderung;Marzahn-Hellersdorf;"Busch Metallbau GmbH";12681;"Schkopauer Ring 11";2018;"Herstellung Metallkonstruktionen";"Erweiterung einer Betriebsstätte";210000;"Erweiterung einer Betriebsstätte"
1617;Unternehmensförderung;Treptow-Köpenick;"diamond inventics GmbH";12489;"Magnusstr. 11";2017;"F&E Biotechnologie";"Errichtung einer Betriebsstätte";217950;"Errichtung einer Betriebsstätte"
594;Unternehmensförderung;Mitte;"aikux.com GmbH";10555;"Alt-Moabit 59-61";2019;"Groß-Handel Software/u.a.";"Erweiterung einer Betriebsstätte";14970;"Erweiterung einer Betriebsstätte"
1362;Unternehmensförderung;Marzahn-Hellersdorf;"Genusswerkstatt GmbH";12685;"Blumberger Damm 44";2018;"Herstellung sonstiger Lebensmittel";"Errichtung einer Betriebsstätte";108000;"Errichtung einer Betriebsstätte"
1107;Unternehmensförderung;Treptow-Köpenick;"Epimune GmbH";12489;"Rudower Chaussee 29";2018;"F&E Biotechnologie";"Errichtung einer Betriebsstätte";180750;"Errichtung einer Betriebsstätte"
852;Unternehmensförderung;Spandau;"Conti Temic microelectronic GmbH";13599;"Zitadellenweg 28 A";2018;"Sonstige F&E Medizin u.a.";"Diversifizierung der Produktion";4557000;"Diversifizierung der Produktion"
1620;Unternehmensförderung;Tempelhof-Schöneberg;"Monath + Menzel GmbH";12277;"Wilhelm-von-Siemens-Str. 23";2017;"Herstellung sonstiger Waren";"Errichtung einer Betriebsstätte";48700;"Errichtung einer Betriebsstätte"
597;Unternehmensförderung;Treptow-Köpenick;"Epiontis GmbH";12489;"Barbara-McClintock-Straße 6";2019;"F&E Biotechnologie";"Errichtung einer Betriebsstätte";365000;"Errichtung einer Betriebsstätte"
1365;Unternehmensförderung;Reinickendorf;"TEK Döner Fleisch GmbH";13507;"Flohrstr. 19";2018;Fleischverarbeitung;"Errichtung einer Betriebsstätte";1200000;"Errichtung einer Betriebsstätte"
1110;Unternehmensförderung;Mitte;"aikux.com GmbH";10555;"Alt Moabit 59-61";2018;"Groß-Handel Software u.a.";"Erweiterung einer Betriebsstätte";13570;"Erweiterung einer Betriebsstätte"
855;Unternehmensförderung;Mitte;"eHealth Ventures GmbH";10117;"Französische Str. 8";2019;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";343200;"Erweiterung einer Betriebsstätte"
1623;Unternehmensförderung;Friedrichshain-Kreuzberg;"kleiner und bold GmbH";10999;"Leuschnerdamm 13";2017;Werbeagenturen;"Erweiterung einer Betriebsstätte";48000;"Erweiterung einer Betriebsstätte"
600;Unternehmensförderung;Friedrichshain-Kreuzberg;"m.o.l.i.t.o.r GmbH art in motion";10997;"Schlesische Str. 31";2019;"Messeveranstalter u.a.";"Erweiterung einer Betriebsstätte";25930;"Erweiterung einer Betriebsstätte"
1368;Unternehmensförderung;Tempelhof-Schöneberg;"EMR Technologies GmbH";12099;"Colditzstr. 33";2018;Mechanik;"Erweiterung einer Betriebsstätte";210000;"Erweiterung einer Betriebsstätte"
1113;Unternehmensförderung;Mitte;"touristic24 GmbH";10179;"Wallstr. 9";2019;"Sonstige Reise-Dienstleistungen";"Errichtung einer Betriebsstätte";1678200;"Errichtung einer Betriebsstätte"
858;Unternehmensförderung;Tempelhof-Schöneberg;"PIK AG";12105;"Rathausstraße 48";2018;"Herstellung Telekommunikations-Geräte";"Erweiterung einer Betriebsstätte";90000;"Erweiterung einer Betriebsstätte"
1626;Unternehmensförderung;Reinickendorf;"Sawade GmbH";13509;"Wittestr. 26E";2017;Süßwaren-Herstellung;"Erweiterung einer Betriebsstätte";218550;"Erweiterung einer Betriebsstätte"
603;Unternehmensförderung;Pankow;"Norfried Dürre Metall- und Bauelemente GmbH";13156;"Buchholzer Str. 156";2019;"Herstellung Metallkonstruktionen";"Erweiterung einer Betriebsstätte";150000;"Erweiterung einer Betriebsstätte"
1371;Unternehmensförderung;Neukölln;"Lechmann Engineering GmbH";12359;"Woermannkehre 2";2017;Oberflächenveredelung;"Erweiterung einer Betriebsstätte";922350;"Erweiterung einer Betriebsstätte"
1116;Unternehmensförderung;Mitte;"Polywerk Kunststoff- und Energietechnik Berlin GmbH";13347;"Oudenarder Str. 16";2018;"Herstellung sonstiger synthetischer Waren";"Erweiterung einer Betriebsstätte";39000;"Erweiterung einer Betriebsstätte"
861;Unternehmensförderung;Treptow-Köpenick;"Stage Tec Entwicklungsgesellschaft für professionelle Audiotechnik mbH";12459;"Tabbertstr. 10-11";2018;"Herstellung sonstiger elektrischer Geräte";"Erweiterung einer Betriebsstätte";71600;"Erweiterung einer Betriebsstätte"
1629;Unternehmensförderung;Lichtenberg;"repay.me GmbH";10369;"Landsberger Allee 131 C";2017;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";88170;"Errichtung einer Betriebsstätte"
606;Unternehmensförderung;Tempelhof-Schöneberg;"Frohraum GmbH";12277;"Wilhelm-von-Siemens-Str. 12-14";2019;"Herstellung sonstiger Möbel";"Erweiterung einer Betriebsstätte";82500;"Erweiterung einer Betriebsstätte"
1374;Unternehmensförderung;Pankow;"B.I.N.S.S, Datennetze und Gefahrenmeldesysteme GmbH";13088;"Saaler Bogen 2";2018;"Sonstige IT-Dienstleistungen";"Erweiterung einer Betriebsstätte";133110;"Erweiterung einer Betriebsstätte"
1119;Unternehmensförderung;Friedrichshain-Kreuzberg;"successyou GmbH";10243;"Mühlenstr. 60";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";504360;"Erweiterung einer Betriebsstätte"
864;Unternehmensförderung;Mitte;"ginger.berlin GmbH";10119;"Almstadtstr. 49";2018;Tonstudios/u.a.;"Errichtung einer Betriebsstätte";66000;"Errichtung einer Betriebsstätte"
1632;Unternehmensförderung;Tempelhof-Schöneberg;"Haffmans & Neumeister GmbH";10827;"Crellestr. 29";2017;"Herstellung medizinischer Apparate";"Erweiterung einer Betriebsstätte";262500;"Erweiterung einer Betriebsstätte"
609;Unternehmensförderung;Spandau;"O'Donnell Moonshine GmbH";13599;"Gartenfelder Str. 29-37";2019;Spirituosen-Herstellung;"Errichtung einer Betriebsstätte";105000;"Errichtung einer Betriebsstätte"
1377;Unternehmensförderung;Tempelhof-Schöneberg;"Bally Wulff Games & Entertainment GmbH";12099;"Colditzstr. 34-36";2018;Spielwarenherstellung;"Errichtung einer Betriebsstätte";118860;"Errichtung einer Betriebsstätte"
1122;Unternehmensförderung;Neukölln;"EBK Berliner Kompostierungs- gesellschaft mbH";12349;"Marienfelder Chaussee 161";2018;"Behandlung ungefährlicher Abfall";"Erweiterung einer Betriebsstätte";149220;"Erweiterung einer Betriebsstätte"
867;Unternehmensförderung;Marzahn-Hellersdorf;"ATeB Automatisierungstechnik GmbH Berlin";12681;"Boxberger Str. 12";2019;"Herstellung Transportsysteme";"Erweiterung einer Betriebsstätte";90000;"Erweiterung einer Betriebsstätte"
1635;Unternehmensförderung;Pankow;"Gebrüder Beetz Filmproduktion Berlin GmbH & Co KG";10405;"Heinrich-Roller-Str. 15";2017;Film/TV-Herstellung;"Erweiterung einer Betriebsstätte";165840;"Erweiterung einer Betriebsstätte"
612;Unternehmensförderung;Mitte;"Rianna + Nina GmbH";10119;"Torstr. 109";2019;Damen-Kleidung;"Erweiterung einer Betriebsstätte";33000;"Erweiterung einer Betriebsstätte"
1380;Unternehmensförderung;Neukölln;"Bally Wulff Games & Entertainment GmbH";12357;"Kanalstr. 127-129";2018;Spielwarenherstellung;"Errichtung einer Betriebsstätte";168090;"Errichtung einer Betriebsstätte"
1125;Unternehmensförderung;Tempelhof-Schöneberg;"Spot On GmbH";10829;"Monumentenstr. 33-34";2018;"Herstellung Ladenmöbel";"Erweiterung einer Betriebsstätte";51000;"Erweiterung einer Betriebsstätte"
870;Unternehmensförderung;Tempelhof-Schöneberg;"Business Keeper Aktiengesellschaft";10789;"Bayreuther Str. 35";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";380250;"Erweiterung einer Betriebsstätte"
1638;Unternehmensförderung;"Nicht zugeordnet";"Haffmans & Neumeister GmbH";10827;"Crellestr. 29-30";2017;"Herstellung medizinischer Apparate";"Errichtung einer Betriebsstätte";394800;"Errichtung einer Betriebsstätte"
615;Unternehmensförderung;Friedrichshain-Kreuzberg;"why do birds GmbH";10965;"Kreuzbergstr. 37-38";2019;Grafik/Kommunikations-Design;"Erweiterung einer Betriebsstätte";92340;"Erweiterung einer Betriebsstätte"
1383;Unternehmensförderung;"Nicht zugeordnet";"FOC - fibre optical components GmbH";12489;"Barbara McClintock Str.";2017;"Herstellung Telekommunikations-Geräte";"Erweiterung einer Betriebsstätte";1355220;"Erweiterung einer Betriebsstätte"
1128;Unternehmensförderung;Pankow;"AMZ Weissenseer Grundstücks- gesellschaft mbH";13088;"Roelckestr. 91";2018;"Verwaltung Gewerbe";"Erweiterung einer Betriebsstätte";292000;"Erweiterung einer Betriebsstätte"
873;Unternehmensförderung;Charlottenburg-Wilmersdorf;"SEM GmbH - Schaltschrankbau";10719;Walther-Huth-Str.;2019;"Herstellung Schaltungen u.a.";"Errichtung einer Betriebsstätte";695610;"Errichtung einer Betriebsstätte"
1641;Unternehmensförderung;Reinickendorf;"Rapid Medico GmbH";13469;"Wittenauer Str. 172";2018;"Herstellung medizinischer Apparate";"Errichtung einer Betriebsstätte";28410;"Errichtung einer Betriebsstätte"
618;Unternehmensförderung;Friedrichshain-Kreuzberg;"YAGER Development GmbH";10997;"Pfuelstr. 5";2019;PC-Spiele-Verlag;"Erweiterung einer Betriebsstätte";907480;"Erweiterung einer Betriebsstätte"
1386;Unternehmensförderung;Tempelhof-Schöneberg;"Oehme Technische Kunststoff- teile GmbH";12277;"Sperenberger Str. 10";2018;"Herstellung sonstiger synthetischer Waren";"Erweiterung einer Betriebsstätte";1258000;"Erweiterung einer Betriebsstätte"
1131;Unternehmensförderung;Friedrichshain-Kreuzberg;"Industrial Analytics IA GmbH";10969;"Prinzessinnenstr. 19-20";2018;"Technisch/chemische Untersuchungen";"Errichtung einer Betriebsstätte";60000;"Errichtung einer Betriebsstätte"
876;Unternehmensförderung;Reinickendorf;"fs möbelgestaltung GmbH";13439;"Zerpenschleuser Ring 30";2018;"Herstellung sonstige Möbel";"Erweiterung einer Betriebsstätte";60000;"Erweiterung einer Betriebsstätte"
1644;Unternehmensförderung;Pankow;"sifin diagnostics gmbh";13088;"Berliner Allee 317-321";2017;"Sonstige chemische Waren";"Erweiterung einer Betriebsstätte";437800;"Erweiterung einer Betriebsstätte"
621;Unternehmensförderung;Neukölln;"noga Werbeagentur GmbH";12045;"Weserstr. 168";2019;Werbeagenturen;"Erweiterung einer Betriebsstätte";189000;"Erweiterung einer Betriebsstätte"
1389;Unternehmensförderung;Mitte;"Pix4D GmbH";10179;"Alte Jakobstraße 85 / 86";2018;"Sonstiger Software-Verlag";"Errichtung einer Betriebsstätte";375000;"Errichtung einer Betriebsstätte"
1134;Unternehmensförderung;Mitte;"viasto GmbH";13357;"Badstr. 20";2018;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";582000;"Errichtung einer Betriebsstätte"
879;Unternehmensförderung;Treptow-Köpenick;"DIZG Deutsches Institut für Zell- und Gewerbeersatz gGmbH";12555;"Köpenicker Str. 325";2019;"Herstellung Pharma-Grundstoffe";"Diversifizierung der Produktion";1100000;"Diversifizierung der Produktion"
1647;Unternehmensförderung;Spandau;"Mondo Pasta GmbH";13587;"Mertensstr. 65";2018;Teigwaren-Herstellung;"Erweiterung einer Betriebsstätte";62740;"Erweiterung einer Betriebsstätte"
624;Unternehmensförderung;Mitte;"NH Präzisionszerspanung GmbH";13409;"Kühnemannstr. 8, 11-15";2019;"Herstellung Getriebe u.a.";"Erweiterung einer Betriebsstätte";600000;"Erweiterung einer Betriebsstätte"
1392;Unternehmensförderung;Treptow-Köpenick;"Chromicent GmbH";12489;"Johann-Hittorf-Str. 8";2017;"Sonstige F&E Medizin u.a.";"Erweiterung einer Betriebsstätte";102000;"Erweiterung einer Betriebsstätte"
1137;Unternehmensförderung;Spandau;"navXperience GmbH";13597;"Klärwerkstr. 1A";2018;"Herstellung elektronischer Messinstrumstrumente";"Erweiterung einer Betriebsstätte";4400;"Erweiterung einer Betriebsstätte"
882;Unternehmensförderung;Tempelhof-Schöneberg;"TAMSCHICK MEDIA + SPACE GmbH";10783;"Bülowstr. 66";2018;Film/TV-Herstellung;"Erweiterung einer Betriebsstätte";391500;"Erweiterung einer Betriebsstätte"
1650;Unternehmensförderung;Mitte;"nhb studios berlin GmbH";10119;"Brunnenstr. 24";2017;Filmtechnik;"Erweiterung einer Betriebsstätte";114600;"Erweiterung einer Betriebsstätte"
627;Unternehmensförderung;Pankow;"Selfapy GmbH";10435;"Kastanienallee 29-30";2019;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";746070;"Erweiterung einer Betriebsstätte"
1395;Unternehmensförderung;Marzahn-Hellersdorf;"REBU Ingenieurgesellschaft für Stahlbauten und Anlagenbau GmbH";12681;"Zur Alten Börse 49";2018;"Herstellung sonstiger elektronischer Geräte";"Errichtung einer Betriebsstätte";451170;"Errichtung einer Betriebsstätte"
1140;Unternehmensförderung;Mitte;"Deutsches Spionage Museum DSM GmbH";10117;"Leipziger Platz 9";2018;Museen;"Erweiterung einer Betriebsstätte";153480;"Erweiterung einer Betriebsstätte"
885;Unternehmensförderung;Pankow;"Modellbau Georgi GmbH";13127;"Marienstr. 11A";2018;Spielwarenherstellung;"Erweiterung einer Betriebsstätte";19040;"Erweiterung einer Betriebsstätte"
1653;Unternehmensförderung;Tempelhof-Schöneberg;"EMR Technologies GmbH";12099;"Colditzstr. 33";2017;Mechanik;"Erweiterung einer Betriebsstätte";150000;"Erweiterung einer Betriebsstätte"
630;Unternehmensförderung;Friedrichshain-Kreuzberg;"JobUFO GmbH";10969;"Friedrichstr. 231";2019;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";684000;"Erweiterung einer Betriebsstätte"
1398;Unternehmensförderung;Tempelhof-Schöneberg;"Artis Möbel Objekte Raumkonzepte GmbH";10965;"Columbiadamm 23";2018;"Herstellung sonstiger Möbel";"Erweiterung einer Betriebsstätte";228000;"Erweiterung einer Betriebsstätte"
1143;Unternehmensförderung;Treptow-Köpenick;"Sentech Instruments GmbH";12489;"Schwarzschildstr. 2";2019;"Herstellung elektronischer Messinstrumstrumente";"Erweiterung einer Betriebsstätte";1000000;"Erweiterung einer Betriebsstätte"
888;Unternehmensförderung;Reinickendorf;"Berliner Seilfabrik GmbH & Co.";13407;"Flottenstr. 14";2018;Sportgerätherstellung;"Erweiterung einer Betriebsstätte";70400;"Erweiterung einer Betriebsstätte"
1656;Unternehmensförderung;Reinickendorf;"DB-Automobile GmbH";13403;"Waldstr. 98";2017;"Reparatur PKW/LKW<3,5t";"Erweiterung einer Betriebsstätte";150000;"Erweiterung einer Betriebsstätte"
633;Unternehmensförderung;Friedrichshain-Kreuzberg;"Manheimer GmbH";10963;"Hallesches Ufer 78";2019;Herren-Kleidung;"Errichtung einer Betriebsstätte";334190;"Errichtung einer Betriebsstätte"
1401;Unternehmensförderung;Treptow-Köpenick;"Rost: Werbetechnik GmbH";12489;"Am Studio 9";2017;Drucken;"Erweiterung einer Betriebsstätte";57110;"Erweiterung einer Betriebsstätte"
1146;Unternehmensförderung;Pankow;"ideenmanufaktur GmbH";13189;"Wisbyer Str. 33 / 13189 Berlin Pankow";2018;Werbeagenturen;"Erweiterung einer Betriebsstätte";16000;"Erweiterung einer Betriebsstätte"
891;Unternehmensförderung;Charlottenburg-Wilmersdorf;"keylight GmbH";10623;"Kantstr. 24";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";1478430;"Errichtung einer Betriebsstätte"
636;Unternehmensförderung;Tempelhof-Schöneberg;"NC GROUP GmbH";10829;"Tempelhofer Weg 39-47";2019;"Management Holding";"Erweiterung einer Betriebsstätte";55400;"Erweiterung einer Betriebsstätte"
1404;Unternehmensförderung;Lichtenberg;"dopa Entwicklungsgesellschaft für Oberflächenbearbeitungstechnologie mbH";13057;"Zu den Krugwiesen 1";2017;"Herstellung sonstiger Werkzeuge";"Erweiterung einer Betriebsstätte";2232900;"Erweiterung einer Betriebsstätte"
1149;Unternehmensförderung;Treptow-Köpenick;"RADIODATA GmbH";12489;"Newtonstr. 18";2018;"Herstellung Telekommunikations-Geräte";"Errichtung einer Betriebsstätte";57000;"Errichtung einer Betriebsstätte"
894;Unternehmensförderung;Mitte;"KW-Commerce GmbH";10117;"Jägerstr. 41";2018;"Sonstiger Versand/I-Net-EH";"Erweiterung einer Betriebsstätte";1405440;"Erweiterung einer Betriebsstätte"
639;Unternehmensförderung;Charlottenburg-Wilmersdorf;"GCM Go City Media GmbH";10587;"Salzufer 11";2019;Zeitschrift-Verlag;"Errichtung einer Betriebsstätte";117000;"Errichtung einer Betriebsstätte"
1407;Unternehmensförderung;Mitte;"remerge GmbH";10117;"Oranienburger Str. 27";2018;"Sonstige IT-Dienstleistungen";"Erweiterung einer Betriebsstätte";720000;"Erweiterung einer Betriebsstätte"
1152;Unternehmensförderung;Pankow;"Ableton AG";10119;"Schönhauser Allee 6-7";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";133740;"Erweiterung einer Betriebsstätte"
897;Unternehmensförderung;Mitte;"ethicted GmbH";10435;"Wolliner Str. 16";2019;Textilienveredelung;"Errichtung einer Betriebsstätte";11990;"Errichtung einer Betriebsstätte"
642;Unternehmensförderung;Friedrichshain-Kreuzberg;"Avow GmbH";10967;"Grimmstr. 23";2019;Werbeagenturen;"Erweiterung einer Betriebsstätte";190570;"Erweiterung einer Betriebsstätte"
1410;Unternehmensförderung;Treptow-Köpenick;"emarsys interactive services GmbH";12489;"Willi-Schwabe-Str. 1";2018;Werbeagenturen;"Errichtung einer Betriebsstätte";1128230;"Errichtung einer Betriebsstätte"
1155;Unternehmensförderung;Pankow;"CCVOSSEL GmbH";10435;"Sredzkistr. 28";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";982800;"Erweiterung einer Betriebsstätte"
900;Unternehmensförderung;Pankow;"Prisma Data Services GmbH";10405;"Prenzlauer Allee 193";2018;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";1143240;"Errichtung einer Betriebsstätte"
645;Unternehmensförderung;"Nicht zugeordnet";"Kröpelin Projekt GmbH";12347;"Jahnstr. 37-39";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";378910;"Errichtung einer Betriebsstätte"
1413;Unternehmensförderung;Mitte;"zero360 GmbH";10179;"Neue Grünstr. 18";2017;IT-Beratung;"Erweiterung einer Betriebsstätte";75000;"Erweiterung einer Betriebsstätte"
1158;Unternehmensförderung;Treptow-Köpenick;"EPIGAP Optronic GmbH";12555;"Köpenicker Str. 325";2018;"Herstellung elektronischer Bauelemente";"Erweiterung einer Betriebsstätte";60600;"Erweiterung einer Betriebsstätte"
903;Unternehmensförderung;Mitte;"RGBalpha GmbH";13353;"Müllerstr. 138 D";2018;Film/TV-Herstellung;"Errichtung einer Betriebsstätte";10250;"Errichtung einer Betriebsstätte"
648;Unternehmensförderung;Neukölln;"Spoonflower GmbH";12059;"Thiemannstr. 1";2019;Drucken;"Erweiterung einer Betriebsstätte";790000;"Erweiterung einer Betriebsstätte"
1416;Unternehmensförderung;Pankow;"It's us Plus GmbH";10435;"Kastanienallee 24";2018;Filmtechnik;"Erweiterung einer Betriebsstätte";60000;"Erweiterung einer Betriebsstätte"
1161;Unternehmensförderung;Tempelhof-Schöneberg;"K&L Wall Art GmbH";12277;"Buckower Chaussee 114";2018;Drucken;"Erweiterung einer Betriebsstätte";274750;"Erweiterung einer Betriebsstätte"
906;Unternehmensförderung;Reinickendorf;"Berliner Seilfabrik GmbH & Co.";13407;"Lengeder Str. 4";2018;Sportgerätherstellung;"Erweiterung einer Betriebsstätte";35000;"Erweiterung einer Betriebsstätte"
651;Unternehmensförderung;Mitte;"Softgames Mobile Entertainment Services GmbH";10178;"Karl-Liebknecht-Str. 32";2019;PC-Spiele-Verlag;"Errichtung einer Betriebsstätte";402000;"Errichtung einer Betriebsstätte"
1419;Unternehmensförderung;Neukölln;"B. Braun Melsungen Aktiengesellschaft";12357;"Mistelweg 2-6";2017;"Herstellung Pharma-Waren";"Diversifizierung der Produktion";6332400;"Diversifizierung der Produktion"
1164;Unternehmensförderung;Treptow-Köpenick;"Präziform Glodowski GmbH";12459;"Ostendstr. 1-5";2018;"Herstellung sonstiger synthetischer Waren";"Errichtung einer Betriebsstätte";259200;"Errichtung einer Betriebsstätte"
909;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Die Schnittmeister Postproduktion GmbH";10589;"Keplerstr. 4-6";2018;Filmtechnik;"Erweiterung einer Betriebsstätte";130090;"Erweiterung einer Betriebsstätte"
654;Unternehmensförderung;Tempelhof-Schöneberg;"Geisler Anhänger- und Ladenbau GmbH";12277;"Schwechtenstr. 5 A";2019;"Herstellung Metallkonstruktionen";"Erweiterung einer Betriebsstätte";191980;"Erweiterung einer Betriebsstätte"
1422;Unternehmensförderung;Lichtenberg;"Uwe Küttner Möbelbau und Inneneinrichtung GmbH";13053;"Plauener Str. 163-165";2017;"Herstellung sonstiger Möbel";"Erweiterung einer Betriebsstätte";43500;"Erweiterung einer Betriebsstätte"
1167;Unternehmensförderung;Neukölln;"GeVoTec GmbH";12349;"Christian-Henkel-Str. 9";2018;Mechanik;"Erweiterung einer Betriebsstätte";87390;"Erweiterung einer Betriebsstätte"
912;Unternehmensförderung;Charlottenburg-Wilmersdorf;"PEIX Agentur für Design und Kommunikation GmbH";10719;Ernst-Augustin-Str./Willi-Schwabe-Str.;2018;Grafik/Kommunikations-Design;"Errichtung einer Betriebsstätte";1396890;"Errichtung einer Betriebsstätte"
657;Unternehmensförderung;Spandau;"CraftZentrum Berlin GmbH";13599;"Telegrafenweg 21";2019;Bier-Herstellung;"Erweiterung einer Betriebsstätte";500250;"Erweiterung einer Betriebsstätte"
1425;Unternehmensförderung;Tempelhof-Schöneberg;"LaserAnimation Sollinger GmbH";10827;"Crellestr. 19";2017;Datenverarbeitungs-Geräte;"Erweiterung einer Betriebsstätte";66000;"Erweiterung einer Betriebsstätte"
1170;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Doopic GmbH";10709;"Kurfürstendamm 71";2018;"Sonstige IT-Dienstleistungen";"Erweiterung einer Betriebsstätte";178800;"Erweiterung einer Betriebsstätte"
915;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Contiba GmbH";10587;"Helmholtzstr. 2-9";2019;IT-Beratung;"Erweiterung einer Betriebsstätte";10820;"Erweiterung einer Betriebsstätte"
660;Unternehmensförderung;Treptow-Köpenick;"SUCHMEISTEREI GmbH";12459;"Edisonstr. 63";2019;"Entwicklung Internet-Präsentation";"Errichtung einer Betriebsstätte";19920;"Errichtung einer Betriebsstätte"
1428;Unternehmensförderung;Friedrichshain-Kreuzberg;"The Owners Forum GmbH";10999;"Glogauer Str. 2";2017;Messeveranstalter/ua;"Erweiterung einer Betriebsstätte";63600;"Erweiterung einer Betriebsstätte"
1173;Unternehmensförderung;Lichtenberg;"DResearch Fahrzeugelektronik GmbH";10319;"Otto-Schmirgal-Straße 3";2018;Datenverarbeitungs-Geräte;"Erweiterung einer Betriebsstätte";145500;"Erweiterung einer Betriebsstätte"
918;Unternehmensförderung;Pankow;"Elch Graphics Digitale- und Printmedien GmbH & Co. KG";10405;"Saarbrücker Str. 18";2018;Druck/Medienvorstufe;"Erweiterung einer Betriebsstätte";510000;"Erweiterung einer Betriebsstätte"
663;Unternehmensförderung;Mitte;"Onedirect GmbH";10178;"Rosenstr. 2";2019;"Sonstiger Versand/I-Net-EH";"Errichtung einer Betriebsstätte";782400;"Errichtung einer Betriebsstätte"
1431;Unternehmensförderung;Reinickendorf;"akvola Technologies GmbH";13507;"Am Borsigturm 100";2017;"Herstellung sonstiger Maschinen";"Errichtung einer Betriebsstätte";75170;"Errichtung einer Betriebsstätte"
1176;Unternehmensförderung;Lichtenberg;"Berg Engineering GmbH";13053;"Plauener Str. 163-165";2018;"Herstellung Verarbeitung Kunststoff";"Errichtung einer Betriebsstätte";22500;"Errichtung einer Betriebsstätte"
921;Unternehmensförderung;Friedrichshain-Kreuzberg;"Telesense Kommunikation GmbH";10243;"Erich-Steinfurth-Str. 6";2019;"Call Center";"Erweiterung einer Betriebsstätte";38290;"Erweiterung einer Betriebsstätte"
666;Unternehmensförderung;Friedrichshain-Kreuzberg;"Pitch Software GmbH";10969;"Lobeckstr. 36";2019;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";943800;"Erweiterung einer Betriebsstätte"
1434;Unternehmensförderung;"Nicht zugeordnet";"X-PRESS Grafik & Druck GmbH";12277;"Nunsdorfer Ring 13";2018;Drucken;"Errichtung einer Betriebsstätte";1403180;"Errichtung einer Betriebsstätte"
1179;Unternehmensförderung;Friedrichshain-Kreuzberg;"Morressier GmbH";10961;"Zossener Str. 55-58";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";68910;"Erweiterung einer Betriebsstätte"
924;Unternehmensförderung;Friedrichshain-Kreuzberg;"Kolibri Games GmbH";10963;"Hallesches Ufer 60";2018;"Sonstige Software-Verlag";"Erweiterung einer Betriebsstätte";962400;"Erweiterung einer Betriebsstätte"
