id;foerderung;investitionsort;traeger_unternehmen;plz;strasse_nr;bewilligungsjahr;foerderbereich;projektbezeichnung;bewilligungssumme;rss_titel
1296;Unternehmensförderung;Friedrichshain-Kreuzberg;"Event Destinations GmbH";10963;"Obentrautstr. 55";2017;Datenverarbeitung/Hosting;"Erweiterung einer Betriebsstätte";80130;"Erweiterung einer Betriebsstätte"
1041;Unternehmensförderung;Lichtenberg;"Treiber Tofu GmbH";13053;"Grenzgrabenstr. 15";2018;Obst/Gemüse-Verarbeitung;"Erweiterung einer Betriebsstätte";123000;"Erweiterung einer Betriebsstätte"
786;Unternehmensförderung;Mitte;"Better@Home Service GmbH";10117;"Unter den Linden 80";2019;"Sonstige IT-Dienstleistungen";"Errichtung einer Betriebsstätte";704520;"Errichtung einer Betriebsstätte"
1554;Unternehmensförderung;Treptow-Köpenick;"Laser-Mikrotechnologie Dr. Kieburg GmbH";12489;"James-Franck-Str. 15";2017;"Herstellung Optik-Geräte";"Erweiterung einer Betriebsstätte";36000;"Erweiterung einer Betriebsstätte"
1299;Unternehmensförderung;Tempelhof-Schöneberg;"HAWE InLine Hydraulik GmbH";12277;"Sperenberger Str. 13";2018;"Herstellung hydraulischer/pneumatischer Systeme";"Diversifizierung der Produktion";1787110;"Diversifizierung der Produktion"
1044;Unternehmensförderung;Mitte;"machtfit GmbH";10178;"Monbijouplatz 5";2018;Webportale;"Erweiterung einer Betriebsstätte";999830;"Erweiterung einer Betriebsstätte"
789;Unternehmensförderung;Treptow-Köpenick;"PSC Technologies GmbH";12489;"Magnusstr. 11";2019;"Herstellung Keramikwaren";"Errichtung einer Betriebsstätte";123000;"Errichtung einer Betriebsstätte"
1557;Unternehmensförderung;Friedrichshain-Kreuzberg;"Altagram GmbH";10243;"Str. der Pariser Kommune 12-16";2017;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";62160;"Erweiterung einer Betriebsstätte"
1302;Unternehmensförderung;Mitte;"Sky Deutschland Customer Center GmbH";10117;"Pariser Platz 6A";2018;"Call Center";"Errichtung einer Betriebsstätte";108880;"Errichtung einer Betriebsstätte"
1047;Unternehmensförderung;Reinickendorf;"HD Verzahn- & Drehtechnik GmbH";13409;"Ritterlandweg 49+51";2018;"Herstellung Getriebe u.a.";"Erweiterung einer Betriebsstätte";24480;"Erweiterung einer Betriebsstätte"
792;Unternehmensförderung;Mitte;"accilium Germany GmbH";10785;"Kemperplatz 1";2019;IT-Beratung;"Errichtung einer Betriebsstätte";720000;"Errichtung einer Betriebsstätte"
1560;Unternehmensförderung;Spandau;"Pohl & Wernicke Eloxal & Pulverbeschichtung GmbH";13585;"Neuendorfer Str. 64-69";2017;Oberflächenveredelung;"Erweiterung einer Betriebsstätte";47050;"Erweiterung einer Betriebsstätte"
1305;Unternehmensförderung;Mitte;"alias film und sprachtransfer GmbH";10555;"Wikingerufer 7";2017;Filmtechnik;"Errichtung einer Betriebsstätte";79800;"Errichtung einer Betriebsstätte"
1050;Unternehmensförderung;Treptow-Köpenick;"A. Baur Pharma GmbH & Co. KG";12435;"Bouchéstr. 12";2018;"Herstellung Duft/Körperpflege";"Erweiterung einer Betriebsstätte";20500;"Erweiterung einer Betriebsstätte"
795;Unternehmensförderung;Pankow;"LIPIDOMIX GmbH";13125;"Robert-Rössle-Str. 10";2018;"Sonstige F&E Medizin u.a.";"Erweiterung einer Betriebsstätte";96000;"Erweiterung einer Betriebsstätte"
1563;Unternehmensförderung;Mitte;"Model Engineering Solutions GmbH";10551;"Waldenserstr. 2-4";2017;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";19720;"Erweiterung einer Betriebsstätte"
1308;Unternehmensförderung;Friedrichshain-Kreuzberg;"Kolibri Games GmbH";10963;"Hallesches Ufer 60";2018;"Sonstiger Software-Verlag";"Errichtung einer Betriebsstätte";838600;"Errichtung einer Betriebsstätte"
1053;Unternehmensförderung;Mitte;"iSAtech water GmbH";10555;"Alt-Moabit 59-61";2018;"Herstellung elektronischer Messinstrumstrumente";"Erweiterung einer Betriebsstätte";35770;"Erweiterung einer Betriebsstätte"
798;Unternehmensförderung;Tempelhof-Schöneberg;"Optik Werkstatt GmbH Veredlung und Produktion optischer Gläs";12277;"Benzstr. 46-50";2018;"Herstellung Optik-Geräte";"Erweiterung einer Betriebsstätte";23650;"Erweiterung einer Betriebsstätte"
1566;Unternehmensförderung;Marzahn-Hellersdorf;"CNC-Bearbeitung Schäler GmbH";12681;"Boxberger Str. 29";2017;Metallwarenherstellung;"Erweiterung einer Betriebsstätte";282000;"Erweiterung einer Betriebsstätte"
543;Unternehmensförderung;Mitte;"PROTOS TECHNOLOGIE GmbH";10117;"Unter den Linden 26-30";2019;IT-Beratung;"Erweiterung einer Betriebsstätte";330000;"Erweiterung einer Betriebsstätte"
1311;Unternehmensförderung;Tempelhof-Schöneberg;"IS Insect Services GmbH";12277;"Motzener Str. 6";2017;"F&E Biotechnologie";"Errichtung einer Betriebsstätte";30600;"Errichtung einer Betriebsstätte"
1056;Unternehmensförderung;Mitte;"ONE HUNDRED BERLIN CREATIVE RETOUCHING GmbH";10115;"Anklamer Str. 38";2018;Fotolabors;"Erweiterung einer Betriebsstätte";10360;"Erweiterung einer Betriebsstätte"
801;Unternehmensförderung;Friedrichshain-Kreuzberg;"GHT Mobility GmbH";10963;"Hallesches Ufer 60";2019;SonstigeSoftware-Entwicklung;"Errichtung einer Betriebsstätte";526960;"Errichtung einer Betriebsstätte"
1569;Unternehmensförderung;Tempelhof-Schöneberg;"eins dental p+k GmbH";10829;"Sachsendamm 93";2017;"Zahntechnisches Labor";"Errichtung einer Betriebsstätte";150000;"Errichtung einer Betriebsstätte"
546;Unternehmensförderung;Lichtenberg;"EAW Relaistechnik GmbH";10317;"Hauptstr. 13";2019;"Herstellung Schaltungen u.a.";"Erweiterung einer Betriebsstätte";222000;"Erweiterung einer Betriebsstätte"
1314;Unternehmensförderung;Mitte;"Newsletter2Go GmbH";10179;"Köpenicker Str. 126";2018;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";750000;"Errichtung einer Betriebsstätte"
1059;Unternehmensförderung;Treptow-Köpenick;"EBK Krüger GmbH & Co. KG";12487;"Groß-Berliner Damm 99";2018;"Herstellung elektronischer Bauelemente";"Erweiterung einer Betriebsstätte";1010000;"Erweiterung einer Betriebsstätte"
804;Unternehmensförderung;Treptow-Köpenick;"Biopract GmbH";12526;"Alexander-Meißner-Str. 54";2018;"F&E Biotechnologie";"Erweiterung einer Betriebsstätte";27000;"Erweiterung einer Betriebsstätte"
1572;Unternehmensförderung;Tempelhof-Schöneberg;"ISOTECHNIK GmbH Metallbearbeitung";12277;"Motzener Str. 28A";2017;"Herstellung Metall-Elemente";"Errichtung einer Betriebsstätte";254310;"Errichtung einer Betriebsstätte"
549;Unternehmensförderung;Lichtenberg;"Druckteam Jordan & Roller GbR";10317;"Gustav-Holzmann-Str. 6";2019;Drucken;"Erweiterung einer Betriebsstätte";712680;"Erweiterung einer Betriebsstätte"
1317;Unternehmensförderung;Tempelhof-Schöneberg;"Publiplikator GmbH";10827;"Hauptstr. 3";2017;PR-Beratung;"Errichtung einer Betriebsstätte";20400;"Errichtung einer Betriebsstätte"
1062;Unternehmensförderung;Mitte;"Blömboom GmbH";10553;"Sickingenstr. 20-28";2018;Süßwaren-Herstellung;"Erweiterung einer Betriebsstätte";129070;"Erweiterung einer Betriebsstätte"
807;Unternehmensförderung;Steglitz-Zehlendorf;"EmtoEmgo GmbH";12169;"Bergstr. 92";2018;"Sonstige Software-Entwicklung";"Erweiterung einer Betriebsstätte";141600;"Erweiterung einer Betriebsstätte"
1575;Unternehmensförderung;Tempelhof-Schöneberg;"DLB Draht und Litzen GmbH";12277;"Malteserstr. 149";2017;"Herstellung Draht (kaltgezogen)";"Erweiterung einer Betriebsstätte";223790;"Erweiterung einer Betriebsstätte"
552;Unternehmensförderung;Friedrichshain-Kreuzberg;"Aaron GmbH";10963;"Dessauer Str. 28-29";2019;"Sonstige Software-Entwicklung";"Errichtung einer Betriebsstätte";3900;"Errichtung einer Betriebsstätte"
1320;Unternehmensförderung;Mitte;"Meurer Hans-Richard";10785;"Dennewitzstr. 3";2017;"Herstellung Ladenmöbel";"Erweiterung einer Betriebsstätte";17400;"Erweiterung einer Betriebsstätte"
1065;Unternehmensförderung;Lichtenberg;"Sergeant Pepper GmbH";10365;"Herzbergstr. 40-43";2019;"Herstellung Arbeitskleidung";"Erweiterung einer Betriebsstätte";256480;"Erweiterung einer Betriebsstätte"
810;Unternehmensförderung;Treptow-Köpenick;"WITT Sensoric GmbH";12489;"Ernst-Lau-Str. 12";2018;"Herstellung Optik-Geräte";"Erweiterung einer Betriebsstätte";125130;"Erweiterung einer Betriebsstätte"
1578;Unternehmensförderung;Steglitz-Zehlendorf;"Rapid Finish GmbH";14167;"Lichterfelder Weg 19";2018;Oberflächenveredelung;"Errichtung einer Betriebsstätte";69080;"Errichtung einer Betriebsstätte"
555;Unternehmensförderung;Mitte;"waf.berlin GmbH";10553;"Kaiserin-Augusta-Allee 101";2019;Werbeagenturen;"Erweiterung einer Betriebsstätte";14300;"Erweiterung einer Betriebsstätte"
1323;Unternehmensförderung;Treptow-Köpenick;"Farben-Frikell Produktions- & Dienstleistungsgesellschaft mbH";12489;"Ernst-Augustin-Str. 1";2018;Druck/Medienvorstufe;"Erweiterung einer Betriebsstätte";149570;"Erweiterung einer Betriebsstätte"
1068;Unternehmensförderung;Tempelhof-Schöneberg;"Durophan Handelsgesellschaft mbH";12277;"Sperenberger Str. 12";2018;"Herstellung Platten/Folien";"Erweiterung einer Betriebsstätte";378660;"Erweiterung einer Betriebsstätte"
813;Unternehmensförderung;Treptow-Köpenick;"ADMOS Gleitlager GmbH";12459;"Wilhelminenhofstr. 89 A";2018;"Herstellung Getriebe u.a.";"Erweiterung einer Betriebsstätte";96000;"Erweiterung einer Betriebsstätte"
1581;Unternehmensförderung;Mitte;"PlusPeter GmbH";10115;"Chausseestr. 84";2017;Druck/Medienvorstufe;"Erweiterung einer Betriebsstätte";120600;"Erweiterung einer Betriebsstätte"
558;Unternehmensförderung;Treptow-Köpenick;"Uwe Steingross Feinmechanik GmbH & Co. KG";12489;"Barbara-McClintock-Str. 9";2019;"Herstellung Metallkonstruktionen";"Erweiterung einer Betriebsstätte";278790;"Erweiterung einer Betriebsstätte"
1326;Unternehmensförderung;Charlottenburg-Wilmersdorf;"Arva Greentech GmbH";10587;"Helmholtzstr. 2-9";2018;"Sonstige F&E Medizin u.a.";"Errichtung einer Betriebsstätte";407190;"Errichtung einer Betriebsstätte"
