id;branche;geltungsbereich;persoenlich;ausbildungsjahr;entgelt;ab;hinweise
363;"Eisenbahnen, nicht bundeseigene,
und Kraftverkehrsbetriebe";deutschlandweit;"alle Auszubildenden";1.;755.18;2015-08-01;
366;"Eisenbahnen, nicht bundeseigene,
und Kraftverkehrsbetriebe";deutschlandweit;"alle Auszubildenden";2.;821.71;2015-08-01;
369;"Eisenbahnen, nicht bundeseigene,
und Kraftverkehrsbetriebe";deutschlandweit;"alle Auszubildenden";3.;883.59;2015-08-01;
372;"Eisenbahnen, nicht bundeseigene,
und Kraftverkehrsbetriebe";deutschlandweit;"alle Auszubildenden";4.;955.62;2015-08-01;
390;Elektrohandwerk;"Berlin und Brandenburg";"alle Auszubildenden";1.;760;2021-09-01;
393;Elektrohandwerk;"Berlin und Brandenburg";"alle Auszubildenden";2.;855;2021-09-01;
396;Elektrohandwerk;"Berlin und Brandenburg";"alle Auszubildenden";3.;935;2021-09-01;
399;Elektrohandwerk;"Berlin und Brandenburg";"alle Auszubildenden";4.;1030;2021-09-01;
402;"Energie- und Versorgungswirtschaft";"neue Bundesländer und Berlin";"alle Auszubildenden";1.;980;2021-06-01;
405;"Energie- und Versorgungswirtschaft";"neue Bundesländer und Berlin";"alle Auszubildenden";2.;1040;2021-06-01;
408;"Energie- und Versorgungswirtschaft";"neue Bundesländer und Berlin";"alle Auszubildenden";3.;1100;2021-06-01;
411;"Energie- und Versorgungswirtschaft";"neue Bundesländer und Berlin";"alle Auszubildenden";4.;1160;2021-06-01;
414;"Entsorgungsunternehmen, private";deutschlandweit;"alle Auszubildenden";1.;671;2015-04-01;
417;"Entsorgungsunternehmen, private";deutschlandweit;"alle Auszubildenden";2.;726;2015-04-01;
420;"Entsorgungsunternehmen, private";deutschlandweit;"alle Auszubildenden";3.;803;2015-04-01;
423;"Entsorgungsunternehmen, private";deutschlandweit;"alle Auszubildenden";4.;880;2015-04-01;
426;"Erdöl- und Erdgasgewinnungsindustrie 1";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden des Tarifbereichs T&B";1.;753;2017-01-01;
429;"Erdöl- und Erdgasgewinnungsindustrie 1";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden des Tarifbereichs T&B";2.;874;2017-01-01;
432;"Erdöl- und Erdgasgewinnungsindustrie 1";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden des Tarifbereichs T&B";3.;1060;2017-01-01;
435;"Erdöl- und Erdgasgewinnungsindustrie 1";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden des Tarifbereichs T&B";4.;1309;2017-01-01;
438;"Erdöl- und Erdgasgewinnungsindustrie 1";"Berlin-Ost und Brandenburg";;;;1970-01-01;"keine tarifvertraglichen Regelungen"
441;"Erdöl- und Erdgasgewinnungsindustrie 2";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";1.;660;2019-01-01;"Dienstleistungsunternehmen in dieser Branche"
444;"Erdöl- und Erdgasgewinnungsindustrie 2";"alte Bundesländer einschließlich Berlin-West";"alle Auszubildenden";2.;770;2019-01-01;"Dienstleistungsunternehmen in dieser Branche"
